Instructor Name,HCM Home Dept,Crosslisted Course Flag,Course Subject Short Nm,Course Number,Course Title Nm,Pct of Instructor Hrs Taught,Semester Year Name Concat,Prorated Instr Enrollment Cnt,Crs Academic Division Nm,Section Nbr
Jonathan Shewchuk,Electrical Eng & Computer Sci,,Computer Science,189,Intro Machine Learn,100,2017 Spring,464,College of Engineering (Division Lvl),001
Jonathan Shewchuk,Electrical Eng & Computer Sci,,Computer Science,189,Intro Machine Learn,100,2019 Spring,682,College of Engineering (Division Lvl),001
Jonathan Shewchuk,Electrical Eng & Computer Sci,,Computer Science,189,Intro Machine Learn,100,2020 Spring,728,College of Engineering (Division Lvl),001
Jonathan Shewchuk,Electrical Eng & Computer Sci,,Computer Science,H196B,Sr Honors Thesis,100,2017 Spring,1,College of Engineering (Division Lvl),002
Jonathan Shewchuk,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2019 Fall,1,College of Engineering (Division Lvl),089
Jonathan Shewchuk,Electrical Eng & Computer Sci,,Computer Science,274,Comp Geometry,100,2017 Spring,25,College of Engineering (Division Lvl),001
Jonathan Shewchuk,Electrical Eng & Computer Sci,,Computer Science,274,Comp Geometry,100,2019 Spring,22,College of Engineering (Division Lvl),001
Jonathan Shewchuk,Electrical Eng & Computer Sci,,Computer Science,289A,Intro Machine Learn,100,2017 Spring,99,College of Engineering (Division Lvl),001
Jonathan Shewchuk,Electrical Eng & Computer Sci,,Computer Science,289A,Intro Machine Learn,100,2019 Spring,62,College of Engineering (Division Lvl),001
Jonathan Shewchuk,Electrical Eng & Computer Sci,,Computer Science,289A,Intro Machine Learn,100,2020 Spring,83,College of Engineering (Division Lvl),001
Jonathan Shewchuk,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2016 Fall,1,College of Engineering (Division Lvl),058
Jonathan Shewchuk,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2017 Spring,2,College of Engineering (Division Lvl),099
Jonathan Shewchuk,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2017 Fall,1,College of Engineering (Division Lvl),058
Jonathan Shewchuk,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2018 Spring,2,College of Engineering (Division Lvl),099
Jonathan Shewchuk,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2018 Fall,2,College of Engineering (Division Lvl),058
Jonathan Shewchuk,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2019 Spring,2,College of Engineering (Division Lvl),099
Jonathan Shewchuk,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2019 Fall,2,College of Engineering (Division Lvl),058
Jonathan Shewchuk,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2020 Spring,2,College of Engineering (Division Lvl),099
Jonathan Shewchuk,Electrical Eng & Computer Sci,,Computer Science,399,Supervised Teaching,100,2017 Spring,5,College of Engineering (Division Lvl),022
Jonathan Shewchuk,Electrical Eng & Computer Sci,,Computer Science,399,Supervised Teaching,100,2019 Spring,3,College of Engineering (Division Lvl),022
Jonathan Shewchuk,Electrical Eng & Computer Sci,,Computer Science,399,Supervised Teaching,100,2020 Spring,11,College of Engineering (Division Lvl),022
Jose Carmena,Electrical Eng & Computer Sci,,Bioengineering,99,Superv Indep Study,100,2017 Fall,1,College of Engineering (Division Lvl),29
Jose Carmena,Electrical Eng & Computer Sci,,Electrical Engineering,290P,Bioelectronics,100,2016 Fall,21,College of Engineering (Division Lvl),001
Jose Carmena,Electrical Eng & Computer Sci,,Electrical Engineering,290P,Bioelectronics,100,2017 Fall,8,College of Engineering (Division Lvl),001
Jose Carmena,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2016 Fall,1,College of Engineering (Division Lvl),015
Jose Carmena,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2017 Spring,1,College of Engineering (Division Lvl),053
Jose Carmena,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2017 Fall,1,College of Engineering (Division Lvl),015
Jose Carmena,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2018 Fall,1,College of Engineering (Division Lvl),015
Jose Carmena,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2019 Spring,1,College of Engineering (Division Lvl),053
Jose Carmena,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2019 Fall,1,College of Engineering (Division Lvl),015
Jose Carmena,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2020 Spring,1,College of Engineering (Division Lvl),053
Jose Carmena,Electrical Eng & Computer Sci,,Neuroscience,292,Neuroresearch,100,2016 Fall,1,L&S Biological Sciences Division,041
Jose Carmena,Electrical Eng & Computer Sci,,Neuroscience,292,Neuroresearch,100,2017 Spring,1,L&S Biological Sciences Division,041
Jose Carmena,Electrical Eng & Computer Sci,,Neuroscience,292,Neuroresearch,100,2018 Fall,1,L&S Biological Sciences Division,041
Jose Carmena,Electrical Eng & Computer Sci,,Neuroscience,292,Neuroresearch,100,2019 Spring,1,L&S Biological Sciences Division,041
Jose Carmena,Electrical Eng & Computer Sci,,Neuroscience,292,Neuroresearch,100,2019 Fall,1,L&S Biological Sciences Division,041
Jose Carmena,Electrical Eng & Computer Sci,,Neuroscience,292,Neuroresearch,100,2020 Spring,1,L&S Biological Sciences Division,041
Joseph Gonzalez,Electrical Eng & Computer Sci,Y,Computer Science,C100,Princ&Tech Data Sci,25,2017 Spring,16.5,College of Engineering (Division Lvl),001
Joseph Gonzalez,Electrical Eng & Computer Sci,Y,Computer Science,C100,Princ&Tech Data Sci,50,2018 Spring,301.5,College of Engineering (Division Lvl),001
Joseph Gonzalez,Electrical Eng & Computer Sci,Y,Statistics,C100,Princ&Tech Data Sci,25,2017 Spring,7,L&S Mathematical and Physical Sciences Division,001
Joseph Gonzalez,Electrical Eng & Computer Sci,Y,Statistics,C100,Princ&Tech Data Sci,50,2017 Fall,128,L&S Mathematical and Physical Sciences Division,001
Joseph Gonzalez,Electrical Eng & Computer Sci,,Computer Science,197,Field Study,50,2018 Spring,2.5,College of Engineering (Division Lvl),229
Joseph Gonzalez,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2016 Fall,3,College of Engineering (Division Lvl),68
Joseph Gonzalez,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2017 Spring,12,College of Engineering (Division Lvl),029
Joseph Gonzalez,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2017 Fall,2,College of Engineering (Division Lvl),068
Joseph Gonzalez,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2018 Spring,5,College of Engineering (Division Lvl),029
Joseph Gonzalez,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2018 Fall,5,College of Engineering (Division Lvl),068
Joseph Gonzalez,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2019 Spring,4,College of Engineering (Division Lvl),029
Joseph Gonzalez,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2019 Fall,6,College of Engineering (Division Lvl),068
Joseph Gonzalez,Electrical Eng & Computer Sci,,Computer Science,294,Special Topics,25,2016 Fall,7.25,College of Engineering (Division Lvl),020
Joseph Gonzalez,Electrical Eng & Computer Sci,,Computer Science,294,Special Topics,50,2019 Spring,15.5,College of Engineering (Division Lvl),159
Joseph Gonzalez,Electrical Eng & Computer Sci,,Computer Science,294,Special Topics,100,2019 Fall,45,College of Engineering (Division Lvl),162
Joseph Gonzalez,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2016 Fall,1,College of Engineering (Division Lvl),090
Joseph Gonzalez,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2017 Spring,3,College of Engineering (Division Lvl),037
Joseph Gonzalez,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2017 Fall,8,College of Engineering (Division Lvl),090
Joseph Gonzalez,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2018 Spring,7,College of Engineering (Division Lvl),037
Joseph Gonzalez,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2018 Fall,6,College of Engineering (Division Lvl),090
Joseph Gonzalez,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2019 Spring,7,College of Engineering (Division Lvl),037
Joseph Gonzalez,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2019 Fall,20,College of Engineering (Division Lvl),090
Joseph Hellerstein,Electrical Eng & Computer Sci,Y,Computer Science,C100,Princ&Tech Data Sci,25,2017 Spring,16.5,College of Engineering (Division Lvl),001
Joseph Hellerstein,Electrical Eng & Computer Sci,Y,Statistics,C100,Princ&Tech Data Sci,25,2017 Spring,7,L&S Mathematical and Physical Sciences Division,001
Joseph Hellerstein,Electrical Eng & Computer Sci,,Computer Science,186,Intro To Database,100,2017 Fall,449,College of Engineering (Division Lvl),001
Joseph Hellerstein,Electrical Eng & Computer Sci,,Computer Science,186,Intro To Database,100,2018 Fall,418,College of Engineering (Division Lvl),001
Joseph Hellerstein,Electrical Eng & Computer Sci,,Computer Science,W186,Intro To Database,100,2019 Spring,533,College of Engineering (Division Lvl),001
Joseph Hellerstein,Electrical Eng & Computer Sci,,Computer Science,197,Field Study,100,2018 Spring,1,College of Engineering (Division Lvl),228
Joseph Hellerstein,Electrical Eng & Computer Sci,,Computer Science,198,Directed Group Stdy,100,2019 Fall,43,College of Engineering (Division Lvl),075
Joseph Hellerstein,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2018 Fall,4,College of Engineering (Division Lvl),021
Joseph Hellerstein,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2019 Spring,3,College of Engineering (Division Lvl),034
Joseph Hellerstein,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2019 Fall,4,College of Engineering (Division Lvl),021
Joseph Hellerstein,Electrical Eng & Computer Sci,,Computer Science,286A,Intro To Database,100,2017 Fall,28,College of Engineering (Division Lvl),001
Joseph Hellerstein,Electrical Eng & Computer Sci,,Computer Science,286B,Impl Database Syst,100,2020 Spring,26,College of Engineering (Division Lvl),001
Joseph Hellerstein,Electrical Eng & Computer Sci,,Computer Science,294,Special Topics,25,2016 Fall,7.25,College of Engineering (Division Lvl),020
Joseph Hellerstein,Electrical Eng & Computer Sci,,Computer Science,298,"Grp Std, Sem, Res",100,2018 Spring,11,College of Engineering (Division Lvl),012
Joseph Hellerstein,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2016 Fall,6,College of Engineering (Division Lvl),024
Joseph Hellerstein,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2017 Spring,5,College of Engineering (Division Lvl),042
Joseph Hellerstein,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2017 Fall,7,College of Engineering (Division Lvl),024
Joseph Hellerstein,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2018 Spring,6,College of Engineering (Division Lvl),042
Joseph Hellerstein,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2018 Fall,7,College of Engineering (Division Lvl),024
Joseph Hellerstein,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2019 Spring,7,College of Engineering (Division Lvl),042
Joseph Hellerstein,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2019 Fall,9,College of Engineering (Division Lvl),024
Joseph Hellerstein,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2020 Spring,8,College of Engineering (Division Lvl),042
Joseph Hellerstein,Electrical Eng & Computer Sci,,Computer Science,399,Supervised Teaching,100,2017 Fall,4,College of Engineering (Division Lvl),043
Joseph Hellerstein,Electrical Eng & Computer Sci,,Computer Science,399,Supervised Teaching,100,2018 Fall,4,College of Engineering (Division Lvl),043
Joseph Hellerstein,Electrical Eng & Computer Sci,,Computer Science,399,Supervised Teaching,100,2019 Fall,2,College of Engineering (Division Lvl),043
Joseph Hellerstein,Electrical Eng & Computer Sci,,Engineering,296MA,Capstone Project,100,2017 Fall,3,College of Engineering (Division Lvl),043
Joseph Hellerstein,Electrical Eng & Computer Sci,,Engineering,296MB,Capstone Project,100,2018 Spring,3,College of Engineering (Division Lvl),043
Joshua Hug,Electrical Eng & Computer Sci,Y,Computer Science,C200A,Princ&Tech Data Sci,50,2018 Fall,21.5,College of Engineering (Division Lvl),001
Joshua Hug,Electrical Eng & Computer Sci,Y,Computer Science,C200A,Princ&Tech Data Sci,50,2019 Fall,27,College of Engineering (Division Lvl),001
Joshua Hug,Electrical Eng & Computer Sci,Y,Statistics,C100,Princ&Tech Data Sci,50,2018 Fall,360.5,L&S Mathematical and Physical Sciences Division,001
Joshua Hug,Electrical Eng & Computer Sci,Y,Statistics,C100,Princ&Tech Data Sci,50,2019 Fall,448.5,L&S Mathematical and Physical Sciences Division,001
Joshua Hug,Electrical Eng & Computer Sci,Y,Statistics,C200C,Princ&Tech Data Sci,50,2018 Fall,12,L&S Mathematical and Physical Sciences Division,001
Joshua Hug,Electrical Eng & Computer Sci,Y,Statistics,C200C,Princ&Tech Data Sci,50,2019 Fall,35.5,L&S Mathematical and Physical Sciences Division,001
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,24,Freshman Seminars,100,2019 Spring,20,College of Engineering (Division Lvl),003
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,47B,Supl Data Structure,50,2019 Spring,9.5,College of Engineering (Division Lvl),001
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,61B,Data Structures,33.33333333,2017 Spring,450,College of Engineering (Division Lvl),001
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,61B,Data Structures,66.66666667,2017 Spring,900,College of Engineering (Division Lvl),001
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,61B,Data Structures,100,2018 Spring,1362,College of Engineering (Division Lvl),001
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,61B,Data Structures,100,2019 Spring,1556,College of Engineering (Division Lvl),001
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,97,Field Study,50,2016 Fall,25.5,College of Engineering (Division Lvl),201
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,97,Field Study,100,2017 Spring,36,College of Engineering (Division Lvl),203
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,W186,Intro To Database,50,2020 Spring,259.5,College of Engineering (Division Lvl),001
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,W186,Intro To Database,100,2019 Fall,731,College of Engineering (Division Lvl),001
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,188,Artif Intelligence,50,2016 Fall,256,College of Engineering (Division Lvl),001
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,195,Social Implic Comp,33.33333333,2018 Spring,76.3333333333,College of Engineering (Division Lvl),001
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,195,Social Implic Comp,33.33333333,2020 Spring,110,College of Engineering (Division Lvl),001
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,195,Social Implic Comp,50,2017 Spring,107.5,College of Engineering (Division Lvl),001
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,195,Social Implic Comp,100,2016 Fall,221,College of Engineering (Division Lvl),001
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,195,Social Implic Comp,100,2017 Fall,290,College of Engineering (Division Lvl),001
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,195,Social Implic Comp,100,2018 Fall,249,College of Engineering (Division Lvl),001
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,197,Field Study,50,2018 Fall,10,College of Engineering (Division Lvl),207
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,197,Field Study,100,2016 Fall,9,College of Engineering (Division Lvl),207
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,197,Field Study,100,2017 Spring,32,College of Engineering (Division Lvl),203
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,197,Field Study,100,2017 Fall,6,College of Engineering (Division Lvl),207
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,197,Field Study,100,2018 Spring,55,College of Engineering (Division Lvl),203
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,197,Field Study,100,2019 Spring,56,College of Engineering (Division Lvl),203
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,198,Directed Group Stdy,50,2017 Spring,0.5,College of Engineering (Division Lvl),195
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,198,Directed Group Stdy,50,2017 Fall,37,College of Engineering (Division Lvl),058
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,198,Directed Group Stdy,100,2016 Fall,40,College of Engineering (Division Lvl),058
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,198,Directed Group Stdy,100,2017 Spring,50,College of Engineering (Division Lvl),058
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,198,Directed Group Stdy,100,2018 Spring,32,College of Engineering (Division Lvl),058
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,198,Directed Group Stdy,100,2018 Fall,22,College of Engineering (Division Lvl),058
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2017 Spring,15,College of Engineering (Division Lvl),037
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2017 Fall,14,College of Engineering (Division Lvl),074
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2018 Spring,48,College of Engineering (Division Lvl),037
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2018 Fall,117,College of Engineering (Division Lvl),074
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2019 Spring,73,College of Engineering (Division Lvl),037
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2019 Fall,121,College of Engineering (Division Lvl),074
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2020 Spring,88,College of Engineering (Division Lvl),037
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2017 Fall,2,College of Engineering (Division Lvl),034
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2018 Spring,2,College of Engineering (Division Lvl),050
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,399,Supervised Teaching,100,2017 Spring,23,College of Engineering (Division Lvl),026
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,399,Supervised Teaching,100,2018 Spring,22,College of Engineering (Division Lvl),026
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,399,Supervised Teaching,100,2019 Spring,28,College of Engineering (Division Lvl),026
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,399,Supervised Teaching,100,2019 Fall,7,College of Engineering (Division Lvl),055
Joshua Hug,Electrical Eng & Computer Sci,,Computer Science,399,Supervised Teaching,100,2020 Spring,14,College of Engineering (Division Lvl),026
Joshua Hug,Electrical Eng & Computer Sci,,Design Innovation,198,Directed Group Stud,100,2019 Fall,23,College of Engineering (Division Lvl),5
Joshua Hug,Electrical Eng & Computer Sci,,Design Innovation,198,Directed Group Stud,100,2020 Spring,25,College of Engineering (Division Lvl),3
Joshua Hug,Electrical Eng & Computer Sci,,Design Innovation,199,Superv Indep Study,100,2019 Fall,2,College of Engineering (Division Lvl),7
Joshua Hug,Electrical Eng & Computer Sci,,Design Innovation,199,Superv Indep Study,100,2020 Spring,3,College of Engineering (Division Lvl),5
Joshua Hug,Electrical Eng & Computer Sci,,Statistics,199,Superv Indep Study,50,2018 Fall,6.5,L&S Mathematical and Physical Sciences Division,001
Kannan Ramchandran,Electrical Eng & Computer Sci,,Computer Science,70,Discrete Math&Prob,50,2017 Fall,374.5,College of Engineering (Division Lvl),001
Kannan Ramchandran,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2018 Fall,2,College of Engineering (Division Lvl),049
Kannan Ramchandran,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2018 Fall,1,College of Engineering (Division Lvl),084
Kannan Ramchandran,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2019 Fall,2,College of Engineering (Division Lvl),049
Kannan Ramchandran,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2019 Fall,1,College of Engineering (Division Lvl),084
Kannan Ramchandran,Electrical Eng & Computer Sci,,Computer Science,399,Supervised Teaching,50,2017 Fall,5,College of Engineering (Division Lvl),019
Kannan Ramchandran,Electrical Eng & Computer Sci,,Electrical Eng & Computer Sci,126,Prob & Random P,50,2018 Fall,109.5,College of Engineering (Division Lvl),001
Kannan Ramchandran,Electrical Eng & Computer Sci,,Electrical Eng & Computer Sci,126,Prob & Random P,50,2019 Fall,81.5,College of Engineering (Division Lvl),001
Kannan Ramchandran,Electrical Eng & Computer Sci,,Electrical Eng & Computer Sci,126,Prob & Random P,100,2018 Spring,202,College of Engineering (Division Lvl),001
Kannan Ramchandran,Electrical Eng & Computer Sci,,Electrical Engineering,126,Prob & Random P,100,2017 Spring,74,College of Engineering (Division Lvl),001
Kannan Ramchandran,Electrical Eng & Computer Sci,,Electrical Engineering,197,Field Study,50,2018 Spring,1.5,College of Engineering (Division Lvl),007
Kannan Ramchandran,Electrical Eng & Computer Sci,,Electrical Engineering,199,Superv Indep Study,100,2016 Fall,1,College of Engineering (Division Lvl),035
Kannan Ramchandran,Electrical Eng & Computer Sci,,Electrical Engineering,199,Superv Indep Study,100,2017 Spring,1,College of Engineering (Division Lvl),035
Kannan Ramchandran,Electrical Eng & Computer Sci,,Electrical Engineering,199,Superv Indep Study,100,2018 Fall,1,College of Engineering (Division Lvl),035
Kannan Ramchandran,Electrical Eng & Computer Sci,,Electrical Engineering,199,Superv Indep Study,100,2019 Fall,1,College of Engineering (Division Lvl),035
Kannan Ramchandran,Electrical Eng & Computer Sci,,Electrical Engineering,290S,Commun/Inform Thry,100,2016 Fall,21,College of Engineering (Division Lvl),001
Kannan Ramchandran,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2016 Fall,6,College of Engineering (Division Lvl),058
Kannan Ramchandran,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2017 Spring,6,College of Engineering (Division Lvl),048
Kannan Ramchandran,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2017 Fall,3,College of Engineering (Division Lvl),058
Kannan Ramchandran,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2018 Spring,3,College of Engineering (Division Lvl),048
Kannan Ramchandran,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2018 Fall,4,College of Engineering (Division Lvl),058
Kannan Ramchandran,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2019 Fall,8,College of Engineering (Division Lvl),058
Karthikeyan Ramasamy,Electrical Eng & Computer Sci,,Computer Science,186,Intro To Database,50,2016 Fall,222.5,College of Engineering (Division Lvl),001
Karthikeyan Ramasamy,Electrical Eng & Computer Sci,,Computer Science,286A,Intro To Database,50,2016 Fall,6,College of Engineering (Division Lvl),001
Katherine Yelick,Electrical Eng & Computer Sci,Y,Computer Science,C267,App Of Parallel Com,25,2019 Spring,23.5,College of Engineering (Division Lvl),001
Katherine Yelick,Electrical Eng & Computer Sci,Y,Computer Science,C267,App Of Parallel Com,33.33333333,2018 Spring,34,College of Engineering (Division Lvl),001
Katherine Yelick,Electrical Eng & Computer Sci,Y,Computer Science,C267,App Of Parallel Com,33.33333333,2020 Spring,45,College of Engineering (Division Lvl),001
Katherine Yelick,Electrical Eng & Computer Sci,Y,Computer Science,C267,App Of Parallel Com,50,2017 Spring,39,College of Engineering (Division Lvl),001
Katherine Yelick,Electrical Eng & Computer Sci,Y,Engineering,C233,App Of Parallel Com,50,2017 Spring,1,College of Engineering (Division Lvl),001
Katherine Yelick,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2019 Fall,1,College of Engineering (Division Lvl),048
Katherine Yelick,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2020 Spring,1,College of Engineering (Division Lvl),096
Katherine Yelick,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2016 Fall,5,College of Engineering (Division Lvl),075
Katherine Yelick,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2017 Spring,5,College of Engineering (Division Lvl),129
Katherine Yelick,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2017 Fall,4,College of Engineering (Division Lvl),075
Katherine Yelick,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2018 Spring,5,College of Engineering (Division Lvl),129
Katherine Yelick,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2018 Fall,5,College of Engineering (Division Lvl),075
Katherine Yelick,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2019 Spring,4,College of Engineering (Division Lvl),129
Katherine Yelick,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2019 Fall,4,College of Engineering (Division Lvl),075
Katherine Yelick,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2020 Spring,4,College of Engineering (Division Lvl),129
Katherine Yelick,Electrical Eng & Computer Sci,,Computer Science,399,Supervised Teaching,100,2017 Spring,1,College of Engineering (Division Lvl),041
Katherine Yelick,Electrical Eng & Computer Sci,,Computer Science,399,Supervised Teaching,100,2018 Spring,1,College of Engineering (Division Lvl),041
Katherine Yelick,Electrical Eng & Computer Sci,,Engineering,296MA,Capstone Project,50,2019 Fall,1.5,College of Engineering (Division Lvl),050
Katherine Yelick,Electrical Eng & Computer Sci,,Engineering,296MB,Capstone Project,50,2020 Spring,1.5,College of Engineering (Division Lvl),024
Kenneth Goldberg,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2019 Spring,3,College of Engineering (Division Lvl),030
Kenneth Goldberg,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2019 Spring,4,College of Engineering (Division Lvl),036
Kenneth Goldberg,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2019 Spring,3,College of Engineering (Division Lvl),090
Koushik Sen,Electrical Eng & Computer Sci,,Computer Science,164,Prog Lang And Comp,100,2017 Spring,90,College of Engineering (Division Lvl),001
Koushik Sen,Electrical Eng & Computer Sci,,Computer Science,164,Prog Lang And Comp,100,2017 Fall,69,College of Engineering (Division Lvl),001
Koushik Sen,Electrical Eng & Computer Sci,,Computer Science,164,Prog Lang And Comp,100,2018 Fall,85,College of Engineering (Division Lvl),001
Koushik Sen,Electrical Eng & Computer Sci,,Computer Science,164,Prog Lang And Comp,100,2019 Fall,93,College of Engineering (Division Lvl),001
Koushik Sen,Electrical Eng & Computer Sci,,Computer Science,294,Special Topics,50,2016 Fall,13,College of Engineering (Division Lvl),015
Koushik Sen,Electrical Eng & Computer Sci,,Computer Science,294,Special Topics,100,2018 Spring,10,College of Engineering (Division Lvl),147
Koushik Sen,Electrical Eng & Computer Sci,,Computer Science,294,Special Topics,100,2018 Fall,9,College of Engineering (Division Lvl),157
Koushik Sen,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2016 Fall,8,College of Engineering (Division Lvl),054
Koushik Sen,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2017 Spring,9,College of Engineering (Division Lvl),095
Koushik Sen,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2017 Fall,8,College of Engineering (Division Lvl),054
